"Code","Entity","region","continent","pop","per_cap_beef_kg_co2eq","per_cap_pork_kg_co2eq","per_cap_sheep_goat_kg_co2eq","per_cap_poultry_kg_co2eq","total_beef_kg_co2eq","total_pork_kg_co2eq","total_sheep_goat_kg_co2eq","total_poultry_kg_co2eq","impute_flag_per_cap_beef_kg_co2eq","impute_flag_per_cap_pork_kg_co2eq","impute_flag_per_cap_sheep_goat_kg_co2eq","impute_flag_per_cap_poultry_kg_co2eq","impute_per_cap_poultry_kg_co2eq"
"GNQ","Equatorial Guinea","Central Africa","Africa",1634473,236.348346888,43.331079362,28.995596028,26.254127949,386304991.58307,70823479.2780462,47392518.8266732,42911663.2711859,"*","*","*","*","*"
"GRC","Greece","Southern Europe","Europe",10445368,963.3182361,327.44576611,301.07736168,257.50811247,10062213477.1754,3420291527.06088,3144863839.2167,2689766997.73454,"","","","",""
"GRD","Grenada","Caribbean","Americas",124624,421.529137374,184.38308227,52.424513496,552.06577692,52532647.2160974,22978557.2448165,6533352.5699255,68800645.3828781,"","","","",""
"GTM","Guatemala","Central America","Americas",17608484,743.56786722,64.13508769,5.1635988084,250.50053091,13093102892.8575,1129321665.42796,90923147.0001305,4410934590.52024,"","","","",""
"GUY","Guyana","South America","Americas",804571,235.020314523,72.505810137,41.705944392,609.07694001,189090529.476085,58336072.1677362,33555393.3854158,490045642.700786,"","","","",""
"HKG","Hong Kong","East Asia","Asia",7494580,2186.8866,642.0896,52.8276,575.8158,16389796574.628,4812191874.368,395920674.408,4315497578.364,"","","","",""
"HND","Honduras","Central America","Americas",10278346,436.846352697,103.404030775,1.1916003972,233.82037896,4490057961.8578,1062822406.1001,12247681.176159,2403286756.802,"","","","",""
"HRV","Croatia","Southeast Europe","Europe",4060139,879.66769917,688.4984231,63.949215888,187.03654935,3571573132.44038,2795399299.06681,259642705.446288,759394388.44136,"","","","",""
"HTI","Haiti","Caribbean","Americas",11447575,285.476887137,49.978581535,24.229192056,120.31525065,3268018076.26734,572133560.515528,277365493.250464,1377317855.45967,"","","","",""
"HUN","Hungary","Central Europe","Europe",9709784,383.07056556,615.37729392,3.9720023832,253.95524805,3719532448.34544,5975180602.46771,38567285.1883572,2465850604.23192,"","","","",""
"IDN","Indonesia","Southeast Asia","Asia",273753184,179.9169,14.772,17.0796,140.154,49252824230.4096,4043882034.048,4675594881.4464,38367603750.336,"","","","",""
"IND","India","South Asia","Asia",1407563904,149.3775,2.8313,23.0376,25.9581,210258377069.76,3985235681.3952,32426894194.7904,36537684576.4224,"","","","",""
"IRL","Ireland","Northern Europe","Europe",4986525,1291.2868278,342.34142006,141.800531076,264.91106649,6439034048.9954,1707094049.66469,707091893.223751,1320985655.82905,"","","","",""
"IRN","Iran","West Asia","Asia",87923432,290.7882,0,124.7208,236.5839,25567096529.1024,0,10965880777.7856,20801268443.9448,"","","","",""
"IRQ","Iraq","West Asia","Asia",43533592,207.27615261,4.223410818,53.487730512,106.07511075,9023475459.05347,183860243.399198,2328513037.11536,4617830592.74531,"","","","",""
"ISL","Iceland","Northern Europe","Europe",370338,986.53402242,244.71748208,689.127105,292.73787333,365351036.794978,90628182.878543,255209953.81149,108411958.533286,"","","","",""
"ISR","Israel","West Asia","Asia",8900057,2121.82499751,17.603303693,197.01125958,684.28734675,18884363421.8639,156670406.25601,1753411439.9038,6090196390.45376,"","","","",""
"ITA","Italy","Southern Europe","Europe",59240336,1060.91206722,441.55963845,32.173196028,203.42069013,62848787328.5674,26158141345.8165,1905950942.89259,12050710032.6531,"","","","",""
"JAM","Jamaica","Caribbean","Americas",2827701,486.63850083,38.037883997,34.953588084,513.5359026,1376068175.43549,107559762.616201,98838295.9787149,1452125985.31792,"","","","",""
"JOR","Jordan","West Asia","Asia",11148288,499.252448133,0.12309991383,157.291088784,240.82782234,5565810076.49175,1372353.29215202,1753526357.5976,2684817921.85915,"","","","",""
"JPN","Japan","East Asia","Asia",124612528,633.3606,270.0814,4.7664,251.3889,78924665501.5968,33655526019.7792,593953153.4592,31326206340.1392,"","","","",""
"KAZ","Kazakhstan","Central Asia","Asia",19196468,1800.49713195,108.08181231,360.65763972,198.38701974,34563185577.57,2074789051.39092,6923352839.84051,3808330076.05428,"","","","",""
"KEN","Kenya","East Africa","Africa",53005616,313.360753527,5.0470992614,81.425988084,16.778998026,16609879770.9228,267524605.363652,4316034656.80108,889381126.230914,"","","","",""
"KGZ","Kyrgyzstan","Central Asia","Asia",6527742,1039.00323444,25.850992614,394.81668084,77.47948026,6782345051.58983,168748610.228098,2577261429.81986,505766057.431373,"","","","",""
"KHM","Cambodia","Southeast Asia","Asia",16589031,274.190520747,80.75353845,0.39719972196,19.147787169,4548555048.57813,1339622952.70674,6589158.50078582,317643234.927943,"","","","",""
"KIR","Kiribati","Oceania Islands","Oceania",128883,409.584958947,189.308701035,11.12047791,296.95833468,52788538.2639662,24398673.3154939,1433240.55447453,38272881.0485624,"","","","",""
"KNA","Saint Kitts and Nevis","Caribbean","Americas",47631,260.134064802,209.91601649,70.670427744,727.19697435,12390445.6405841,9998509.78143519,3366103.14387446,34637119.0852648,"","","","",""
"KOR","South Korea","East Asia","Asia",51830136,1357.67569917,471.71924924,17.0796015888,219.01531974,70368516131.8762,24449272841.9271,885238073.17332,11351593808.2077,"","","","",""
"KWT","Kuwait","West Asia","Asia",4250111,867.05320083,5.1701983997,567.20144112,502.87636182,3685072346.43279,21973917.0907474,2410669084.11996,2137280357.01116,"","","","",""
"LAO","Laos","Southeast Asia","Asia",7425055,583.56849834,174.18661079,15.0936103272,63.66153948,4333028196.44191,1293345165.37934,112070886.828028,472690432.023671,"","","","",""
"LBN","Lebanon","West Asia","Asia",5592626,832.53119751,8.124606155,56.005235748,214.37654805,4656035621.00556,45437883.622213,313216337.580394,1198927856.41468,"","","","",""
"LBR","Liberia","West Africa","Africa",5193422,47.8007820747,61.54997538,16.2851928504,123.27625065,248249633.243953,319654996.23795,84575878.8235101,640225592.203224,"","","","",""
"LBY","Libya","North Africa","Africa",6735280,297.4272,0.9848,245.4696,379.1067,2003255471.616,6632903.744,1653306487.488,2553389774.376,"","","","",""
"LCA","Saint Lucia","Caribbean","Americas",179663,695.05297638,196.45338195,76.25687892,604.49374629,124875302.89536,35295403.9612829,13700539.637404,108605159.9397,"","","","",""
"LIE","Liechtenstein","Central Europe","Europe",39058,731.61793278,536.1001307,11.1216023832,174.00807039,28575533.2185212,20938998.9048806,434387.545883026,6796407.21329262,"*","*","*","*","*"
"LKA","Sri Lanka","South Asia","Asia",21773438,83.651406639,1.1079001231,3.17760023832,104.22720987,1821378716.06705,24122794.6405102,69187281.7778457,2269384692.01743,"","","","",""
"LSO","Lesotho","Southern Africa","Africa",2281464,187.882538175,64.99640608,15.4907034804,103.43695845,428647247.074888,148286960.600901,35341482.3252073,235987696.973171,"","","","",""
"LTU","Lithuania","Northern Europe","Europe",2786652,359.83353444,642.82774453,16.6823864952,245.0719026,1002730838.41429,1791337219.95001,46488005.6916221,682930107.524095,"","","","",""
