Entity,Code,Year,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Retail,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Out-of-home consumption,12.3.1 - Food waste per capita (KG) - AG_FOOD_WST_PC - Households
Nepal,NPL,2019,15.64,27.65,78.63
Netherlands,NLD,2019,11,25.57,50
New Caledonia,NCL,2019,12.81,25.57,78.7
New Zealand,NZL,2019,3.12,25.57,61
Nicaragua,NIC,2019,15.64,27.65,80.08
Niger,NER,2019,15.64,27.65,102.69
Nigeria,NGA,2019,15.64,27.65,188.8
North Korea,PRK,2019,15.64,27.65,80.67
North Macedonia,MKD,2019,15.64,27.65,82.79
Northern Africa (UN),,2019,15.6,27,91.47
Northern America (UN),,2019,15.36,58.86,60.85
Northern Mariana Islands,MNP,2019,12.81,25.56,78.67
Norway,NOR,2019,13.77,4.96,78.8
Oceania (UN),,2019,10.45,23.15,93.21
Oman,OMN,2019,12.81,25.57,94.53
Pakistan,PAK,2019,15.64,27.65,73.64
Palau,PLW,2019,12.81,25.57,78.69
Palestine,PSE,2019,15.64,27.65,100.69
Panama,PAN,2019,12.81,25.57,73.92
Papua New Guinea,PNG,2019,15.64,27.65,91.02
Paraguay,PRY,2019,15.64,27.65,72.43
Peru,PER,2019,15.64,27.65,72.43
Philippines,PHL,2019,15.64,27.65,86.34
Poland,POL,2019,12.81,25.57,55.94
Portugal,PRT,2019,12.81,25.57,84.27
Puerto Rico,PRI,2019,12.81,25.57,73.92
Qatar,QAT,2019,12.81,25.57,94.53
Romania,ROU,2019,12.81,25.57,69.87
Russia,RUS,2019,13.72,27.65,33.38
Rwanda,RWA,2019,15.64,27.65,164.36
Saint Kitts and Nevis,KNA,2019,12.8,25.55,73.87
Saint Lucia,LCA,2019,15.64,27.65,72.43
Saint Martin (French part),MAF,2019,12.81,25.57,73.92
Saint Vincent and the Grenadines,VCT,2019,15.64,27.65,72.44
Samoa,WSM,2019,15.64,27.65,75.72
San Marino,SMR,2019,12.82,25.6,84.36
Sao Tome and Principe,STP,2019,15.64,27.65,99.62
Saudi Arabia,SAU,2019,19.65,25.57,104.88
Senegal,SEN,2019,15.64,27.65,99.59
Serbia,SRB,2019,15.64,6,82.78
Seychelles,SYC,2019,12.81,25.56,93.39
Sierra Leone,SLE,2019,15.64,27.65,102.69
Singapore,SGP,2019,12.81,25.57,80.17
Sint Maarten (Dutch part),SXM,2019,12.81,25.58,73.94
Slovakia,SVK,2019,12.81,25.57,69.87
Slovenia,SVN,2019,6.69,20.08,34.21
Small Island Developing States (SIDS),,2019,14.48,25.74,76.65
Solomon Islands,SLB,2019,15.64,27.65,91.01
Somalia,SOM,2019,15.64,27.65,102.69
South Africa,ZAF,2019,15.64,27.65,39.78
South Korea,KOR,2019,12.81,25.57,71.41
South Sudan,SSD,2019,15.64,27.65,102.69
Spain,ESP,2019,12.81,25.57,77.33
Sri Lanka,LKA,2019,15.64,27.65,75.87
Sub-Saharan Africa (UN),,2019,15.39,27.42,114.24
Sudan,SDN,2019,15.64,27.65,97.22
Suriname,SUR,2019,15.64,27.65,72.44
Sweden,SWE,2019,10,20.5,81
Switzerland,CHE,2019,12.81,40,71.68
Syria,SYR,2019,15.64,27.65,103.8
Tajikistan,TJK,2019,15.64,27.65,97.22
Tanzania,TZA,2019,15.64,27.65,119.09
Thailand,THA,2019,15.64,27.65,78.69
Togo,TGO,2019,15.64,27.65,102.69
Tonga,TON,2019,15.64,27.65,75.72
Trinidad and Tobago,TTO,2019,12.81,25.57,73.92
Tunisia,TUN,2019,15.64,27.65,91.02
Turkey,TUR,2019,15.64,27.65,93.04
Turkmenistan,TKM,2019,15.64,27.65,75.71
Turks and Caicos Islands,TCA,2019,12.81,25.57,73.93
Tuvalu,TUV,2019,15.57,27.52,75.36
Uganda,UGA,2019,15.64,27.65,102.69
Ukraine,UKR,2019,15.64,27.65,76.03
United Arab Emirates,ARE,2019,12.81,25.57,94.53
United Kingdom,GBR,2019,4.2,16.5,77
United States,USA,2019,15.65,63.62,58.83
United States Virgin Islands,VIR,2019,12.81,25.58,73.94
Uruguay,URY,2019,12.81,25.57,73.92
Uzbekistan,UZB,2019,15.64,27.65,91.02
Vanuatu,VUT,2019,15.64,27.65,91.02
Venezuela,VEN,2019,15.64,27.65,72.43
Vietnam,VNM,2019,15.64,27.65,76.16
World,OWID_WRL,2019,15.32,31.39,73.77
Yemen,YEM,2019,15.64,27.65,103.8
Zambia,ZMB,2019,15.64,27.65,77.92
Zimbabwe,ZWE,2019,15.64,27.65,99.59
